scientific_name,park_name,observations,category,common_names,conservation_status,missing_conservation_status,status_nb,common_names_length,last_common_name
Vicia benghalensis,Great Smoky Mountains National Park,68,Vascular Plant,"Purple Vetch, Reddish Tufted Vetch",Not Threatened,True,0,34,Vetch
Neovison vison,Great Smoky Mountains National Park,77,Mammal,American Mink,Not Threatened,True,0,13,Mink
Prunus subcordata,Yosemite National Park,138,Vascular Plant,Klamath Plum,Not Threatened,True,0,12,Plum
Abutilon theophrasti,Bryce National Park,84,Vascular Plant,Velvetleaf,Not Threatened,True,0,10,Velvetleaf
Githopsis specularioides,Great Smoky Mountains National Park,85,Vascular Plant,Common Bluecup,Not Threatened,True,0,14,Bluecup
Elymus virginicus var. virginicus,Yosemite National Park,112,Vascular Plant,Virginia Wildrye,Not Threatened,True,0,16,Wildrye
Spizella pusilla,Yellowstone National Park,228,Bird,Field Sparrow,Not Threatened,True,0,13,Sparrow
Elymus multisetus,Great Smoky Mountains National Park,39,Vascular Plant,"Big Squirreltail, Big Wild Rye",Not Threatened,True,0,30,Rye
Lysimachia quadrifolia,Yosemite National Park,168,Vascular Plant,Whorled Loosestrife,Not Threatened,True,0,19,Loosestrife
Diphyscium cumberlandianum,Yellowstone National Park,250,Nonvascular Plant,Cumberland Diphyscium Moss,Not Threatened,True,0,26,Moss
Ludwigia peploides ssp. glabrescens,Bryce National Park,103,Vascular Plant,Floating Primrosewillow,Not Threatened,True,0,23,Primrosewillow
Cistothorus platensis,Bryce National Park,114,Bird,Sedge Wren,Not Threatened,True,0,10,Wren
Setaria viridis var. viridis,Bryce National Park,101,Vascular Plant,Green Bristlegrass,Not Threatened,True,0,18,Bristlegrass
Arabis davidsonii,Yellowstone National Park,279,Vascular Plant,Davidson's Rockcress,Not Threatened,True,0,20,Rockcress
Fabronia ciliaris,Great Smoky Mountains National Park,72,Nonvascular Plant,Fabronia Moss,Not Threatened,True,0,13,Moss
Lunaria annua,Great Smoky Mountains National Park,65,Vascular Plant,"Annual Honesty, Moneyplant",Not Threatened,True,0,26,Moneyplant
Quercus bicolor,Yosemite National Park,143,Vascular Plant,Swamp White Oak,Not Threatened,True,0,15,Oak
Muhlenbergia rigens,Yosemite National Park,165,Vascular Plant,"Deer Muhly, Deergrass",Not Threatened,True,0,21,Deergrass
Rubus idaeus ssp. strigosus,Yosemite National Park,150,Vascular Plant,American Red Raspberry,Not Threatened,True,0,22,Raspberry
Polymnia canadensis,Great Smoky Mountains National Park,80,Vascular Plant,"Leaf-Cup, White-Flower Leafcup",Not Threatened,True,0,30,Leafcup
Carduus nutans,Bryce National Park,83,Vascular Plant,Musk Thistle,Not Threatened,True,0,12,Thistle
Ptilium crista-castrensis,Bryce National Park,109,Nonvascular Plant,Knights Plume Moss,Not Threatened,True,0,18,Moss
Elodea nuttallii,Yosemite National Park,158,Vascular Plant,Western Waterweed,Not Threatened,True,0,17,Waterweed
Larus philadelphia,Yosemite National Park,167,Bird,Bonaparte's Gull,Not Threatened,True,0,16,Gull
Zizia trifoliata,Yosemite National Park,135,Vascular Plant,"Meadow Alexanders, Three-Leaved Golden Alexanders",Species of Concern,False,2,49,Alexanders
Amaranthus retroflexus,Yellowstone National Park,247,Vascular Plant,"Green Amaranthus, Red-Root Amaranth",Not Threatened,True,0,35,Amaranth
Geranium thunbergii,Yosemite National Park,150,Vascular Plant,Thunberg's Geranium,Not Threatened,True,0,19,Geranium
Scirpus cyperinus,Great Smoky Mountains National Park,73,Vascular Plant,"Bulrush, Cottongrass Bulrush",Not Threatened,True,0,28,Bulrush
Viola glabella,Yellowstone National Park,261,Vascular Plant,Pioneer Violet,Not Threatened,True,0,14,Violet
Scaphiopus holbrookii holbrookii,Yosemite National Park,177,Amphibian,Eastern Spadefoot,Not Threatened,True,0,17,Spadefoot
Glyceria striata,Yosemite National Park,117,Vascular Plant,"Fowl Manna-Grass, Striate Mannagrass",Not Threatened,True,0,36,Mannagrass
Veronica cusickii,Bryce National Park,84,Vascular Plant,Cusick's Speedwell,Not Threatened,True,0,18,Speedwell
Festuca filiformis,Great Smoky Mountains National Park,79,Vascular Plant,Fineleaf Sheep Fescue,Not Threatened,True,0,21,Fescue
Rosa pinetorum,Bryce National Park,96,Vascular Plant,Pine Rose,Not Threatened,True,0,9,Rose
Lysimachia nummularia,Yosemite National Park,140,Vascular Plant,"Creeping Jennie, Moneywort",Not Threatened,True,0,26,Moneywort
Sclerolinon digynum,Bryce National Park,116,Vascular Plant,"Digynum Flax, Northwestern Yellowflax",Not Threatened,True,0,37,Yellowflax
Camissonia sierrae ssp. alticola,Bryce National Park,84,Vascular Plant,"Mono Hot Springs Evening Primrose, Mono Hot Springs Evening-Primrose",Species of Concern,False,2,68,Evening-Primrose
Festuca idahoensis,Yellowstone National Park,239,Vascular Plant,Idaho Fescue,Not Threatened,True,0,12,Fescue
Doellingeria infirma,Yellowstone National Park,262,Vascular Plant,Cornel-Leaf Whitetop,Not Threatened,True,0,20,Whitetop
Viola macloskeyi ssp. pallens,Great Smoky Mountains National Park,71,Vascular Plant,"Northern White Violet, Smooth White Violet",Not Threatened,True,0,42,Violet
Cirsium arvense,Great Smoky Mountains National Park,85,Vascular Plant,"Crepping Thistle, Canada Thistle",Not Threatened,True,0,32,Thistle
Elaeagnus umbellata,Yosemite National Park,176,Vascular Plant,Autumn Olive,Not Threatened,True,0,12,Olive
Cornus alternifolia,Yosemite National Park,148,Vascular Plant,"Alternate-Leaf Dogwood, Alternate-Leaved Dogwood",Not Threatened,True,0,48,Dogwood
Portulaca oleracea,Great Smoky Mountains National Park,76,Vascular Plant,Common Purslane,Not Threatened,True,0,15,Purslane
Elaeagnus umbellata,Great Smoky Mountains National Park,85,Vascular Plant,Autumn Olive,Not Threatened,True,0,12,Olive
Solidago missouriensis var. missouriensis,Bryce National Park,112,Vascular Plant,Missouri Goldenrod,Not Threatened,True,0,18,Goldenrod
Silene parryi,Great Smoky Mountains National Park,68,Vascular Plant,Parry's Silene,Not Threatened,True,0,14,Silene
Itea virginica,Yellowstone National Park,235,Vascular Plant,"Sweet-Spire, Tasselwhite, Virginia Willow",Not Threatened,True,0,41,Willow
Ammoselinum butleri,Yellowstone National Park,283,Vascular Plant,Butler's Sandparsley,Not Threatened,True,0,20,Sandparsley
Platycladus orientalis,Great Smoky Mountains National Park,25,Vascular Plant,Oriental White Cedar,Not Threatened,True,0,20,Cedar
Limnanthes alba ssp. versicolor,Yellowstone National Park,246,Vascular Plant,White Meadowfoam,Not Threatened,True,0,16,Meadowfoam
Panicum rigidulum var. pubescens,Yosemite National Park,158,Vascular Plant,Long-Leaved Panic Grass,Not Threatened,True,0,23,Grass
Salix humilis var. humilis,Great Smoky Mountains National Park,64,Vascular Plant,Prairie Willow,Not Threatened,True,0,14,Willow
Hepatica nobilis,Yellowstone National Park,281,Vascular Plant,Hepatica,Not Threatened,True,0,8,Hepatica
Eriogonum nudum var. deductum,Bryce National Park,88,Vascular Plant,Naked Buckwheat,Not Threatened,True,0,15,Buckwheat
Penstemon procerus,Great Smoky Mountains National Park,67,Vascular Plant,"Littleflower Penstemon, Pincushion Beardtongue",Not Threatened,True,0,46,Beardtongue
Ericameria suffruticosa,Yellowstone National Park,254,Vascular Plant,"Bighead Goldenbush, Singlehead Goldenbush, Single-Head Heath-Goldenrod",Not Threatened,True,0,70,Heath-Goldenrod
Chasmanthium latifolium,Yosemite National Park,152,Vascular Plant,"Broad-Leaved Spanglegrass, Indian Sea-Oats",Not Threatened,True,0,42,Sea-Oats
Sparganium emersum ssp. emersum,Great Smoky Mountains National Park,80,Vascular Plant,Emersed Bur-Reed,Not Threatened,True,0,16,Bur-Reed
Ribes rotundifolium,Yosemite National Park,147,Vascular Plant,"Appalachian Gooseberry, Round-Leaved Currant",Not Threatened,True,0,44,Currant
Pachysandra procumbens,Yellowstone National Park,213,Vascular Plant,American Pachysandra,Not Threatened,True,0,20,Pachysandra
Helianthus annuus,Yellowstone National Park,265,Vascular Plant,Common Sunflower,Not Threatened,True,0,16,Sunflower
Blarina brevicauda,Bryce National Park,77,Mammal,"Northern Short Tailed Shrew, Northern Short-Tailed Shrew",Not Threatened,True,0,56,Shrew
Polygonum viviparum,Great Smoky Mountains National Park,107,Vascular Plant,"Alpine Bistort, Serpent-Grass, Viviparous Bistort",Not Threatened,True,0,49,Bistort
Astragalus purshii var. purshii,Yosemite National Park,156,Vascular Plant,"Pursh's Milkvetch, Pursh's Milk-Vetch, Woollypod Milkvetch",Not Threatened,True,0,58,Milkvetch
Orthocarpus luteus,Great Smoky Mountains National Park,47,Vascular Plant,"Golden-Tongue Owl-Clover, Yellow Owlclover, Yellow Owl's-Clover",Not Threatened,True,0,63,Owl's-Clover
Liparis loeselii,Yosemite National Park,157,Vascular Plant,"Fen Orchid, Fen Orchis",Not Threatened,True,0,22,Orchis
Cornus canadensis,Bryce National Park,89,Vascular Plant,"Bunchberry Dogwood, Canadian Bunchberry",Not Threatened,True,0,39,Bunchberry
Arctostaphylos uva-ursi,Yosemite National Park,154,Vascular Plant,"Bearberry, Bearberry Manzanita, Kinnikinnick, Mealberry",Not Threatened,True,0,55,Mealberry
Isatis tinctoria,Yosemite National Park,127,Vascular Plant,Dyer's Woad,Not Threatened,True,0,11,Woad
Eschscholzia hypecoides,Bryce National Park,106,Vascular Plant,San Benito Poppy,Not Threatened,True,0,16,Poppy
Tofieldia glabra,Great Smoky Mountains National Park,75,Vascular Plant,"Smooth Bog-Asphodel, Smooth Tofieldia",Species of Concern,False,2,37,Tofieldia
Odocoileus virginianus,Great Smoky Mountains National Park,36,Mammal,White-Tailed Deer,Not Threatened,True,0,17,Deer
Galium pilosum var. puncticulosum,Bryce National Park,137,Vascular Plant,Hairy Bedstraw,Not Threatened,True,0,14,Bedstraw
Physaria didymocarpa var. didymocarpa,Yellowstone National Park,244,Vascular Plant,Common Twinpod,Not Threatened,True,0,14,Twinpod
Thamnophis sirtalis sirtalis,Great Smoky Mountains National Park,63,Reptile,Common Garter Snake,Not Threatened,True,0,19,Snake
Krigia montana,Yellowstone National Park,214,Vascular Plant,"False Dandelion, Mountain Krigia",Not Threatened,True,0,32,Krigia
